"index","product_name_en"
1,"Stationery, stationery supplies, giftwrap"
2,"Mortgage payment including coop"
3,"Water pump"
4,"Tire, inner tube for bicycle or motorcycle"
5,"Fire/extended coverage insurance"
6,"Pasta, cornmeal and other cereal products"
7,"Mail expenses (stamps, pa"
8,"Refreshments"
9,"Telephone and fax service"
10,"Mobile phone"
11,"Maintenance of property, including items such as ceiling repair, black top, brick, or masonry work, air conditioner repair, roof and awning repair, house painting, papering, chimney cleaning, electrical inspection, furnace inspection and repair, wiring, p"
12,"Payment on telephone calls by fixed and wireless telephone (user charge, cost of local and international calls and etc.)"
13,"Ready-to-eat and cooked cereals"
14,"Ginger (zanjabiil)"
15,"Electricity"
16,"Expenses on mobile telephone calls"
17,"installation and subscription costs of land?line telephone equipment"
18,"Gasoline"
19,"Dry/ Smoked tilapia fish"
20,"Fresh fish and shellfish"
21,"Other fresh fish"
22,"Cards or virtual recharge for mobile phones"
23,"Utility - natural gas"
24,"Internet connection from landline"
25,"other sauce or sauce ned"
26,"Eggs"
27,"Telephone service, including public pay phones"
28,"Traffic fines (including non-official payments)"
29,"Satellite internet connection."
30,"Radio message and radio call service"
31,"Card mobile phone"
32,"Postage stamp, sending letters, postcards"
33,"Other postal services"
34,"Fixed telephone and fax equipment"
35,"Mobile phone equipment: cell phone"
36,"Mobile internet connection"
37,"Data package recharge (mobile internet)"
38,"Hypothetical box fee expense"
39,"Frankfurters"
40,"Fresh milk, all types"
41,"BEVERAGE NOT SPECIFIED"
42,"cordial"
43,"tang asstd flavours"
44,"Non-alcoholic beverages"
45,"Imputed rent"
46,"CULTURAL DRESS"
47,"Water and sewerage maintenance"
48,"Cost of coal"
49,"Telephone expense for other home ownership"
50,"Bathi phone (feature phone)"
51,"freezer"
52,"Candy and chewing gum"
53,"Snacks and nonalcoholic beverages at full service restaurants"
54,"Radio cassettes, tape and cassette tape recorder, electrophones"
55,"Kongo bololo, Lemongrass leaf and other traditional"
56,"Photographer service (development of film printing e"
57,"Olives, pickles, relishes"
58,"Cod, flounder, sole and haddock (fresh or frozen, uncooked)"
59,"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
60,"Wine"
61,"Soaps and detergents"
62,"Cleansing and toilet tissue, paper towels and napkins"
63,"Hair care products"
64,"Cuttle fish, Octopus, lobsters, Prawns, & alike seafood"
65,"fresh or frozen mixed veges frozen"
66,"Food And Non-Alcoholic Beverages - Food - Fish And Sea Food - 113022"
67,"Clams, cockles, mussels, cholgas, scallops"
68,"Meals based on fish"
69,"Oral hygiene products, articles"
70,"Cosmetics, perfume, bath preparations"
71,"Lunch at employer and school cafeterias"
72,"Dinner at full service restaurants"
73,"Cable and satellite television services"
74,"Gasoline"
75,"Other alcoholic beverages"
76,"Fats and oils"
77,"Other fresh fruits"
78,"Silverside"
79,"Jams, preserves, other sweets"
80,"Salt, spices, other seasonings"
81,"Alcoholic beverages served on licensed premises and in restaurants"
82,"Rug"
83,"Rental and repair of sports, photographic and music equipment, passport fees"
84,"Paper punch, paper scissors, staplers, glues,"
85,"Sauces and gravies"
86,"Tea"
87,"Cola"
88,"Other carbonated drinks"
89,"5cc syringe, other hypodermic syringes"
90,"Citrus fruits, excluding oranges"
91,"Books and textbooks"
92,"Miscellaneous prepared foods"
93,"Dictionaries, encyclopedias, atlas"
94,"Sweetrolls, coffee cakes, doughnuts"
95,"Frozen and refrigerated bakery products"
96,"Bread"
97,"Plastic sandals"
98,"Other alcoholic beverages"
99,"Dictionaries "
100,"Home theatres, DVDs, Decks CD players"
101,"Vehicle insurance"
102,"Prescription drugs"
103,"Supportive and convalescent medical equipment"
104,"Rental of medical equipment"
105,"Mountain range"
106,"Cleansing and toilet tissue, paper towels and napkins"
107,"Frozen fish and shellfish"
108,"Fresh fish and shellfish"
109,"Breakfast and brunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
110,"Breakfast and brunch at employer and school cafeterias"
111,"Other fish or seafood(specify)"
112,"Physician's services"
113,"Fresh Fish"
114,"Smoked fish "
115,"Tilapia "
116,"Other Spirits"
117,"Wine (E.g. Cider, King Fisher"
118,"Other alcoholic beverages"
119,"Blood test (public hospital)"
120,"Sports, athletic and recreational equipment and related services - Diary"
121,"Other alcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria"
122,"Aracanut"
123,"Crab "
124,"Women''s shirts, tops, blouses"
125,"Women's pants and shorts"
126,"Carrots (fresh)"
127,"Women's footwear"
128,"Cigarettes"
129,"Nonelectric articles for the hair"
130,"Fried fish "
131,"Table salt"
132,"Klecha (local pastry)"
133,"ORDINARY BREAD IN BULK"
134,"Beer (Lagers,Stouts)"
135,"Other alcoholic beverages"
136,"Sports, athletic and recreational equipment and related services"
137,"Drums, knocker, bass drum"
138,"Subscription to television and radio channels"
139,"Games of chance"
140,"Recreational services - Interview"
141,"Novels, essays, short stories and poems"
142,"Newspapers and newspapers"
143,"Non-professional magazines"
144,"Professional magazines"
145,"Subscription to newspapers and newspapers"
146,"Subscription to professional and non-professional magazines"
147,"Any other fruit (specify)"
148,"Any other fruit (specify)"
149,"Pans"
150,"Upholstery fabrics, curtain fabrics, double curtains,"
151,"Snacks and nonalcoholic beverages at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
152,"Mosquito net"
153,"KIN-LSHI domestic overhead lines"
154,"Other household items in textiles (towels for"
155,"Potato chips and other snacks"
156,"Transport of people by train"
157,"Other durable goods for leisure and culture"
158,"Fresh fish and shellfish"
159,"Cheese"
160,"Gifts given in cash by the brother or sister"
161,"Miscellaneous dairy products"
162,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
163,"Fresh milk, all types"
164,"Cheese"
165,"Cheese"
166,"Cheddar cheese"
167,"All alcoholic Malt beverages purchased for home use."
168,"Bananas"
169,"Potatoes"
170,"Other alcoholic beverages"
171,"SHAKE OF ANY FLAVOR (ALCOHOLIC)"
172,"Other alcohol at employer"
173,"Other alcoholic beverages"
174,"hydrated alcohol"
175,"Sparkling Wines E.g.champagne"
176,"Other Beers"
177,"English hood and other condoms and mechanical contraceptives"
178,"Other alcoholic beverages"
179,"Other alcoholic beverages"
180,"Other alcoholic beverages"
181,"Other alcoholic beverages"
182,"llipza (coca macar additive)"
183,"Costs of repairing pants, costs of modifying pants"
184,"Baby clothes and slippers in textiles"
185,"Lighting devices (lamps, Floor lamps, Ceiling lights)"
186,"Shopping, Abroad"
187,"Ball for various sports: soccer, rugby"
188,"Other gardening items"
189,"Home entertainment equipment and services - Interview"
190,"""Expenses for music, dance, etc. courses and lessons."""
191,"Rental and repair of sports, photographic and music equipment, passport fees"
192,"Footwear for various sports: booties for soccer, golf, skiing"
193,"Ground beef"
194,"Poultry"
195,"Computer equipment and supplies - Interview"
196,"Flatware"
197,"Tableware, nonelectric kitchenware"
198,"Miscellaneous household equipment and parts"
199,"Women's hosiery"
200,"Canned fish and seafood"
201,"Fresh fish and shellfish"
202,"other alcoholic beverages"
203,"Mozzarella cheese"
204,"Processed cheese"
205,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114031"
206,"Food And Non-Alcoholic Beverages - Food - Milk, cheese and eggs - Condensed milk"
207,"Food And Non-Alcoholic Beverages - Food - Milk, cheese and eggs - Eggs"
208,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114030"
209,"Miscellaneous dairy products"
210,"Apples"
211,"Canned fruits"
212,"Dried fruit"
213,"Other alcoholic beverages"
214,"Household furnishings and equipment"
215,"Photo copying"
216,"Radio/Set"
217,"Medicines for animals"
218,"Fresh and canned vegetable juices"
219,"Roasted coffee"
220,"Frozen meals"
221,"Electricity"
222,"Telephone service, including public pay phones"
223,"Frozen foods that are not complete meals."
224,"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
225,"Dried peas"
226,"Other fresh vegetables"
227,"Artificial sweeteners"
228,"Ketchup"
229,"Veterinary services of th"
230,"Expenses of the fitness c"
231,"Purchasing of books and educational materials for school (making copies, etc.)"
232,"Purchasing of educational materials for college (pencil, pen, ruler, etc.)"
233,"Purchasing of books and educational materials for college (making copies, etc.)"
234,"DICTIONARY; QURAN BOOK (FOR GRADE 5 STUDENT)"
235,"COLOURING BOOK"
236,"Drawing materials, paint,"
237,"wheat couscous"
238,"Prepared flour mixes"
239,"Mutton or goat meat"
240,"Ham, not canned"
241,"Wooden bed, metal beds, bed bases, mattresses"
242,"Thermos bottle, coolers"
243,"Natural or flavored yogurt"
244,"Fermented milk"
245,"Milk cream"
246,"Dairy desserts"
247,"Hats, Caps, Berets, Hats"
248,"milk long-life lite"
249,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
250,"Other cheeses"
251,"Jacket with lining"
252,"Other clothing fabrics n.d.a."
253,"Cotton wool"
254,"Women's head tissues, scarves"
255,"Moving, storage, freight"
256,"Airline fares"
257,"Nonprescription drugs"
258,"Potatoes"
259,"Kren-Kren "
260,"Girl's school uniform"
261,"Antennae (aerial) /Satellite/Decoder"
262,"Children's leather shoes"
263,"SPAGHETTI"
264,"Coffee"
265,"UNIDENTIFIED UNFILLED DRY PASTA AND OTHER TYPES N.E.S."
266,"Dress, shirt, T-shirt"
267,"BEEF CUT GROUND BEEF"
268,"Bananas"
269,"Sweater, pullover, jacket"
270,"Orange"
271,"Sportswear"
272,"Underwear, swimsuit"
273,"Underwear"
274,"Fresh fruit juice"
275,"CHICKEN TROUT"
276,"Frozen foods that are not complete meals."
277,"Jacket"
278,"Sewing and mending of children's footwear"
279,"Children's Bags, belts, other accessories"
280,"Children's Spring - fall clothes"
281,"Tailoring Charges-Men "
282,"Bathroom linens"
283,"TRADITIONAL VIENESE"
284,"Tailoring Charges-Women "
285,"Girl?s dress/skirt "
286,"Salon games: dice, ludo, cards, etc."
287,"Toys to assemble"
288,"Baby toys: rattle"
289,"Rental and repair of sports, photographic and music equipment, passport fees"
290,"Imputed rentals of owner-occupiers"
291,"Entertainment Unit/TV stand"
292,"Newspapers (local daily) "
293,"Rice"
294,"Fresh milk, all types"
295,"Bottled water"
296,"Tv size 26 knots or more"
297,"Men's accessories"
298,"Women's skirts"
299,"Prescription drugs"
300,"Pet food"
301,"Other noncarbonated beverages and ice"
302,"Canned and bottled fruit juice"
303,"Lunch at vending machines and mobile vendors"
304,"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
305,"Cheese"
306,"Powdered milk (commercial"
307,"Coolant, brake fluid, transmission fluid, and other additives"
308,"Homemade, white cheese (all types)"
309," Other types of cheese (soft, hard, cream)"
310," Eggs (chicken and others)"
311,"Green cheese"
312,"Fermented milk drinks"
313,"White and red chicken egg"
314,"milk long-life lite anchor"
315,"Canned corn"
316,"Sugar"
317,"Pet purchase, supplies, medicine"
318,"Chuck roast"
319,"Rice"
320,"Whole or skimmed milk powder"
321,"Girl?s undergarments "
322,"Boy?s sweater/cardigan "
323,"Boy?s other clothing "
324,"Skirt"
325,"Shirts"
326,"Jackets"
327,"Pajamas"
328,"Shirts"
329,"Belts"
330,"Suits"
331,"PEN DRIVE"
332,"Gymnastics equipment"
333,"Prepared salads"
334,"Electric heating and air conditioning supplies and equipment"
335,"Cable and satellite television services"
336,"Boys' pants and shorts"
337,"Boys' uniforms and active sportswear"
338,"Women's undergarments"
339,"Land and fertilizers"
340,"Artificial flowers and plants"
341,"Entrance to sports shows"
342,"Amusement park, circus, zoo, recreational center, exhibitions"
343,"Other recreational and cultural services"
344,"Reading materials and other printed matter"
345,"Reading materials and other printed matter - Interview"
346,"Magazines and periodicals"
347,"Books and E-Books (excluding school books)"
348,"PENCIL CASE; PAAS; PURSE /FILE"
349,"Flour"
350,"Commercial white wheat fl"
351,"Other clothing articles"
352,"Infant dresses, outerwear"
353,"Sewing patterns and notions"
354,"Nonprescription vitamins"
355,"T-shirt"
356,"Rental of video cassettes, tapes, films, and discs"
357,"Rental of clothing"
358,"Women cotton fabrics"
359,"Men woolen fabrics"
360,"Other clothes"
361,"Dye house"
362,"Other fresh seafood (crabs, snails)"
363,"Dinner at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)"
364,"Smoking accessories"
365,"Day care centers, nursery, and preschools"
366,"Sun Dried fish (Small Variety)"
367,"Fabric _cloth_ for men"
368,"female - beach jandals"
369,"Contributions"
370,"Pet food"
371,"Smoked fish (Small Variety)"
372,"Eggs"
373,"Girl's sweater/cardigan "
374,"Women's other shoes "
375,"Fresh milk"
376,"Jackets"
377,"Chambiko - soured milk"
378,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114027"
379,"Men bag and the governo"
380,"Chitenje cloth"
381,"Expenditure on milk and its derivatives."
382,"garments for infant 0 to 2 years old"
383,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114028"
384,"Maize ufa mgaiwa (normal flour)"
385,"Cooking oil"
386,"Butter"
387,"Plantain, cooking banana"
388,"Groundnut (Shelled)"
389,"Locally brewed liquor (kachasu )"
390,"Banana"
391,"Papaya"
392,"Other confectionery nes (jam, chocolate, caramel)"
393,"Ice cream, ice cream, lollipop, candy"
394,"Salt"
395,"Baking needs and miscellaneous products"
396,"Tea"
397,"Thobwa"
398,"Fruit juice"
399,"White sweet potato"
400,"Onion"
401,"Chinese cabbage"
402,"Tomato"
403,"Yeast, baking powder, bicarbonate of soda"
404,"Other (specify)"
405,"Meat (vendor)"
406,"Wine or commercial liquor"
407,"Traditional beer (masese)"
408,"Sun Dried fish (Medium Variety)"
409,"Smoked fish (Medium Variety)"
410,"Cookies"
411,"Fresh fish (Small Variety)"
412,"Fresh fish (Large Variety)"
413,"Fresh fish (Medium Variety)"
414,"Smoked fish (Large Variety)"
415,"Bacon"
416,"Sun Dried fish (Large Variety)"
417,"women and girls - shirt"
418,"Powdered milk"
419,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114035"
420,"women and girls - dress skirt"
421,"School uniforms"
422,"Bottled / canned beer (Carlsberg, etc)"
423,"Other outerwear for men"
424,"Other milk products"
425,"Food And Non-Alcoholic Beverages - Food - Milk, Cheese And Eggs - 114032"
426,"eggs"
427,"Prepared flour mixes"
428,"Termites, other insects (eg Ngumbi, caterpillar)"
429,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
430,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
431,"Margarine - Blue band"
432,"Orange sweet potato"
433,"Sugar cane"
434,"Honey"
435,"Cakes and cupcakes"
436,"Tomato sauce (bottle)"
437,"Coffee"
438,"Squash (Sobo drink concentrate)"
439,"Soft drinks (Coca-cola, Fanta, Sprite, etc)"
440,"Maheu"
441,"Bottled water"
442,"Meal eaten at restaurant"
443,"Guava"
444,"Avocado"
445,"Pumpkin"
446,"Mushroom"
447,"Ground bean (nzama)"
448,"Samosa (vendor)"
449,"Spices"
450,"Infant feeding cereals"
451,"Infant feeding formula (for bottle)"
452,"Hot sauce (Nali, etc)"
453,"Other (specify)"
454,"PÂTÉS AND SPREADS"
455,"Spending on photographers and photo shoots"
456,"Fish (vendor)"
457,"Eggs - boiled (vendor)"
458,"COOKED SAUSAGES, JERKY AND PORK COLD CUTS"
459,"Yoghurt"
460,"UNIDENTIFIED HAMBURGERS AND OTHER MEAT N.E.C."
461,"Chibuku(commercial traditional-style beer)"
462,"KALONGONDA (Mucuna)"
463,"Cucumber"
464,"Cheese"
465,"Freezes (flavoured ice)"
466,"Jam, jelly"
467,"Other sugar products"
468,"Cocoa, milo"
469,"Blouse, shirt for women"
470,"Women's dress pants"
471,"Eggs"
472,"LIQUID MILK"
473,"CHICKEN EGGS"
474,"BUTTER"
475,"Other (specify)"
476,"Skirt, skirt-pants for women"
477,"Other (specify)"
478,"Cola"
479,"Stockings, men's stockings"
480,"VEGETABLE, FRUIT, OR SEED OIL"
481,"Stockings, ratchets for women"
482,"Bombacha for children and babies"
483,"Children's briefs"
484,"Costs of taking over, accommodating and retouching a shirt-Wax"
485,"Candy and chewing gum"
486,"Home entertainment equipment and services - Diary"
487,"The value of movie ticket"
488,"Alcabsat and pins and pin"
489,"Carbon papers and tapes"
490,"Maize ufa processed madeya (bran flour - processed)"
491,"Sorghum (mapira)"
492,"Maize ufa raw madeya (bran flour - unprocessed)"
493,"Mutton"
494,"Other meat, fresh frozen"
495,"Other dairy products"
496,"Other fruits (specify)"
497,"Other fresh fruits"
498,"Citrus fruits, excluding oranges"
499,"Lettuce"
500,"Other canned vegetables"
501,"Public transport - Bus/Minibus"
502,"Matches"
503,"Charcoal"
504,"Public transport - Bicycle Taxi"
505,"Candles"
506,"Cigarettes or other tobacco"
507,"Public transport - Other (Truck, Oxcart, Etc)"
508,"Newspapers or magazines"
509,"ORANGE AND TANGERINE"
510,"APPLE"
511,"Paraffin or kerosene"
512,"LETTUCES"
513,"CABBAGE"
514,"PAPRIKA AND BELL PEPPER"
515,"Other carbonated drinks"
516,"Other childens's clothes"
517,"Shopping for fabrics clothing items"
518,"Men's Shirts "
519,"Sportswear"
520,"Jackets"
521,"Synthetic fabrics for chi"
522,"Men silk fabrics"
523,"Bar soap (body soap or clothes soap)"
524,"Clothes soap (powder, paste)"
525,"Toothpaste, toothbrush"
526,"Glycerine, Vaseline, skin creams"
527,"Other personal products (shampoo, razor blades, cosmetics, hair products, etc)"
528,"Dirty fish"
529,"Donation - to church, charity, beggar, etc"
530,"Bicycle service, repair, or parts"
531,"Batteries"
532,"GARLIC"
533,"CARROTS"
534,"ONIONS"
535,"FRESH POTATOES AND ROOT VEGETABLES"
536,"Recharging batteries, cell phones"
537,"Toilet paper"
538,"MASHED POTATOES"
539,"Powdered milk"
540,"Food And Non-Alcoholic Beverages - Food - Milk, cheese and eggs - Powdered milk"
541,"Nondairy cream and imitation milk"
542,"Women woolen fabrics"
543,"Mayonnaise, mustard, ketchup"
544,"Other non-alcoholic beverages nes"
545,"Sewing, knitting, altering and mending of clothes"
546,"Noncarbonated fruit flavored drinks, including non-frozen lemonade"
547,"Coat, jacket, raincoat, overcoat"
548,"Dry cleaning, laundering, dyeing of clothes"
549,"To lease videotapes and c"
550,"Other (remains of plants,"
551,"Other cultural services"
552,"Expenditure on museums an"
553,"Biscuits, pastries and pastries"
554,"Imported rice"
555,"Egg plant"
556,"Vegetable milk"
557,"Palm oil"
558,"Sunflower oil - Shea oil"
559,"Other tubers (plantain, cassava, yam) nes"
560,"Maintenance of property, including items such as ceiling repair, black top, brick, or masonry work, air conditioner repair, roof and awning repair, house painting, papering, chimney cleaning, electrical inspection, furnace inspection and repair, wiring, p"
561,"Light bulbs"
562,"CANDY & GUM"
563,"Petrol or diesel"
564,"FRESH & DRIED HERBS"
565,"TOMATO SAUCE"
566,"Motor vehicle service, repair, or parts"
567,"Wages paid to servants"
568,"Postage stamps or other postal fees"
569,"Repairs to household and personal items (radios, watches, etc, excluding battery purchases)"
570,"Mortgage - regular payment to purchase house"
571,"Boy's shirts"
572,"Boy's other clothing"
573,"Bowls, glassware, plates, silverware, etc"
574,"Fuel oil"
575,"Boy's trousers"
576,"Men's shirts"
577,"Girl's blouse/shirt"
578,"Chitenje cloth"
579,"Magazines"
580,"Lady's dress/skirt"
581,"Deodorants, feminine hygiene, miscellaneous personal care"
582,"Men's shoes"
583,"Other maintenance and repairs n.d.a."
584,"Repair of audiovisual equipment"
585,"Any other pastry (specify)"
586,"Peanut butter"
587,"Other milks (skimmed) nes"
588,"pasteurized whole milk"
589,"Carrot"
590,"Yoghurt production (traditional or industrial)"
591,"Imported blouse"
592,"FIZZY DRINKS"
593,"Other milk products"
594,"Sewing and mending of footwear"
595,"Ice cream and related products"
596,"Leather shoes"
597,"Repairs & maintenance to dwelling"
598,"Dining room (tables, chairs)"
599,"Expenditures on pets"
600,"Other sporting, camping and recreational items: hockey sticks, golf, skates, rollers, etc."
601,"Colored pencil, pastel, wax, spices"
602," ADULT CLUBS"
603,"Postage costs letter, postcards and parcels na"
604,"Wheat flour - Tapioca/gari"
605,"Corn kernels raw"
606,"Other steak"
607,"Cheeses"
608,"Girl's shoes"
609,"Plastic Basin"
610,"Men's trousers"
611,"LIQUID JUICES"
612,"Breakfast and brunch at full service restaurants"
613,"Power tools"
614,"Kitchen and dining room linens"
615,"All prerecorded audio media (other than audio books). Some audio formats, such as DVD-audio may have a relatively small portion of graphical content and still be eligible."
616,"Girl's dress/skirt"
617,"Gardening, lawn care service"
618,"Eyeglasses and contact lenses"
619,"Lady's blouse/shirt"
620,"Cooking utensils (cookpots, stirring spoons and whisks, etc)"
621,"Cleaning utensils (brooms, brushes, etc)"
622,"Infant clothing"
623,"Lady's shoes"
624,"Torch / flashlight"
625,"Boy's shoes"
626,"Laundry, dry cleaning, tailoring fees"
627,"Umbrella"
628,"CIGARETTES"
629,"Flask"
630,"Newspapers"
631,"Lady's undergarments"
632,"House decorations"
633,"Music or video cassette or CD/DVD"
634,"Girl's undergarments"
635,"Other men's underwear n. d. a"
636,"Girl's other clothing"
637,"Cloth, thread, other sewing material"
638,"Baby nappies/diapers"
639,"Men's undergarments"
640,"Lady's other clothing"
641,"Boy's undergarments"
642,"Men's other clothing"
643,"Men's jackets"
644,"Girl dress"
645,"Other masonry materials"
646,"Garden eggs "
647,"Whole or skimmed milk powder"
648,"Assorted cheeses"
649,"Yogurt with accessories"
650,"flavoured milk (chocolate milk strawberry milk flavoured?)"
651,"Milk powder"
652,"Expenses on repairing of durable goods related to recreation and culture"
653,"Any other condiments (specify)"
654,"television sets"
655,"Expenses on gambling (service charges for lotteries, totalizators, casinos, poker clubs and other gambling establishments)"
656,"Newspapers (other international) "
657,"Sorghum flour"
658,"Milk tinned"
659,"Cheese (wara)"
660,"Boy's jackets"
661,"Night's lodging in rest house or hotel"
662,"Books (not for school)"
663,"Stationery items (not for school)"
664,"Other milk products(specify)"
665,"Milk Sour - Packeted Mala"
666,"Corn in paste"
667,"UNDISAGGREGATED EXPENDITURE ON ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTIC DRUGS"
668,"RENTAL OF THE MAIN RESIDENCE"
669,"COMMON EXPENSES FIRST HOME"
670,"GAS SERVICE THROUGH THE FIRST HOME NETWORK"
671,"Photo processing"
672,"Purchasing of eggs for ceremonies"
673,"Daily expenses (Collective room), public hospital or"
674,"Tickets for sports / entertainment events"
675,"CLEANING PRODUCTS FOR CLOTHES"
676,"EXPENDITURE NOT BROKEN DOWN INTO FURNITURE, HOUSEHOLD GOODS AND ORDINARY HOUSEHOLD MAINTENANCE"
677,"LENS AND LENS FRAMES"
678,"IMAGING RADIOLOGICAL EXAMINATIONS (SIMPLE AND COMPLEX EXAMINATIONS)"
679,"Personal care service for males (old)"
680,"PETROL"
681,"MULTIMODAL TRANSPORT SERVICE"
682,"PET FOOD"
683,"CULTURAL SERVICES PROVIDED BY THEATRES, STADIUMS AND CONCERT HALLS"
684,"CONTRACT TV SERVICE MAIN RESIDENCE"
685,"PAPERS, ENVELOPES, NOTEBOOKS"
686,"Night's lodging in hotel"
687,"Paraffin lamp (hurricane or pressure)"
688,"Linen - towel, sheets, blankets"
689,"Funeral costs, nonhousehold members (relatives, neighbors/friends)"
690,"Carpet, rugs, drapes, curtains"
691,"Cement"
692,"Losses to theft (value of items or cash lost)"
693,"Mattress"
694,"Indoor plants, fresh flowers"
695,"Bricks"
696,"Council rates"
697,"Fines or legal fees"
698,"UNDISAGGREGATED EXPENDITURE ON RECREATION AND CULTURE"
699,"MAIN COURSE FOR LUNCH AND DINNER EATEN IN RESTAURANTS AND THE LIKE"
700,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
701,"Capitula (or panties)"
702,"Vet services"
703,"White bread"
704,"Brown bread"
705,"Postage"
706,"Shirt, panties, boy"
707,"Mosquito net"
708,"Water and sewerage maintenance"
709,"Video"
710,"Suit (trousers and jacket)"
711,"Tents of the trips"
